Name,Album,Artists
Harbour,Harbour,Safeguard
A Private Understanding,A Private Understanding,Protomartyr
Fight Song,Modem Operandi,The Stanfields
Don't Want to Know If You Are Lonely,Candy Apple Grey,Hüsker Dü
Be My Escape,Mmhmm,Relient K
1985,A Hangover You Don't Deserve,Bowling For Soup
Scream Out,State Of Discontent,The Unseen
Puddle of Blood,Floating Now,Hard Girls
Tangerines & Daffodils,Tangerines & Daffodils,Mad Wave
That's Progress,Last Scream of the Missing Neighbors,D.O.A.
